info,lat,lon,type,year
"Attack ID: 062-20  Date:   Vessel: Bulk Carrier  Status: Boarded  Full report: 
 View",1.255555556,104.05,boarded,2020
"Attack ID: 061-20  Date:   Vessel: Container  Status: Boarded  Full report: 
 View",30.05211736,47.93719571,boarded,2020
"Attack ID: 060-20  Date:   Vessel: Bulk Carrier  Status: Boarded  Full report: 
 View",-3.690568199,114.4600296,boarded,2020
"Attack ID: 059-20  Date:   Vessel: Pipe Layer  Status: Boarded  Full report: 
 View",18.49027778,-93.30277778,boarded,2020
"Attack ID: 058-20  Date:   Vessel: Offshore Supply Ship  Status: Attempted  Full report: 
 View",-6.081388889,12.31388889,attempted,2020
"Attack ID: 057-20  Date:   Vessel: Tanker  Status: Boarded  Full report: 
 View",1.708333333,104.4777778,boarded,2020
"Attack ID: 056-20  Date:   Vessel: Container  Status: Boarded  Full report: 
 View",6.276439487,2.533923848,boarded,2020
"Attack ID: 055-20  Date:   Vessel: Chemical Tanker  Status: Boarded  Full report: 
 View",10.413365,107.1143389,boarded,2020
"Attack ID: 054-20  Date:   Vessel: Accommodation Barge  Status: Boarded  Full report: 
 View",18.875,-91.88222222,boarded,2020
"Attack ID: 053-20  Date:   Vessel: Offshore Supply Ship  Status: Boarded  Full report: 
 View",18.6,-93.325,boarded,2020
"Attack ID: 052-20  Date:   Vessel: Bulk Carrier  Status: Boarded  Full report: 
 View",1.252777778,104.0333333,boarded,2020
"Attack ID: 051-20  Date:   Vessel: Container  Status: Boarded  Full report: 
 View",-2.868333333,-80.38388889,boarded,2020
"Attack ID: 050-20  Date:   Vessel: Container  Status: Boarded  Full report: 
 View",14.56278636,120.9102376,boarded,2020
"Attack ID: 049-20  Date:   Vessel: Container  Status: Boarded  Full report: 
 View",-2.568055556,-80.11888889,boarded,2020
"Attack ID: 048-20  Date:   Vessel: Pipe Layer  Status: Fired Upon  Full report: 
 View",18.625,-93.32805556,fired upon,2020
"Attack ID: 047-20  Date:   Vessel: Support  Status: Boarded  Full report: 
 View",21.40027778,72.33333333,boarded,2020
"Attack ID: 046-20  Date:   Vessel: Offshore Supply Ship  Status: Boarded  Full report: 
 View",-8.752222222,13.2675,boarded,2020
"Attack ID: 045-20  Date:   Vessel: Container  Status: Fired Upon  Full report: 
 View",2.751666667,6.9025,fired upon,2020
"Attack ID: 044-20  Date:   Vessel: Tug  Status: Boarded  Full report: 
 View",21.69527778,91.84277778,boarded,2020
"Attack ID: 043-20  Date:   Vessel: Bulk Carrier  Status: Attempted  Full report: 
 View",3.118611111,5.585555556,attempted,2020
"Attack ID: 042-20  Date:   Vessel: Product Tanker  Status: Boarded  Full report: 
 View",13.69269059,121.0020447,boarded,2020
"Attack ID: 041-20  Date:   Vessel: Container  Status: Boarded  Full report: 
 View",0.555833333,8.4225,boarded,2020
"Attack ID: 040-20  Date:   Vessel: Bulk Carrier  Status: Boarded  Full report: 
 View",0.115356367,-50.87219238,boarded,2020
"Attack ID: 039-20  Date:   Vessel: Tug  Status: Boarded  Full report: 
 View",16.96666667,82.3,boarded,2020
"Attack ID: 038-20  Date:   Vessel: Product Tanker  Status: Boarded  Full report: 
 View",6.302222222,3.358333333,boarded,2020
"Attack ID: 037-20  Date:   Vessel: Product Tanker  Status: Attempted  Full report: 
 View",5.367222222,1.6,attempted,2020
"Attack ID: 036-20  Date:   Vessel: Container  Status: Boarded  Full report: 
 View",3.925,98.77138889,boarded,2020
"Attack ID: 035-20  Date: 2020-03-15 00:00:00  Vessel: Bulk Carrier  Status: Boarded  Full report: 
 View",1.169166667,103.4333333,boarded,2020
"Attack ID: 034-20  Date: 2020-03-13 00:00:00  Vessel: Refrigerated Cargo  Status: Boarded  Full report: 
 View",-12.05140805,-77.18238831,boarded,2020
